observation_date,MEHOINUSA646N
1996-01-01,35490
1997-01-01,37010
1998-01-01,38890
1999-01-01,40700
2000-01-01,41990
2001-01-01,42230
2002-01-01,42410
2003-01-01,43320
2004-01-01,44330
2005-01-01,46330
2006-01-01,48200
2007-01-01,50230
2008-01-01,50300
2009-01-01,49780
2010-01-01,49280
2011-01-01,50050
