observation_date,UNRATE
1996-01-01,5.4
1997-01-01,4.9
1998-01-01,4.5
1999-01-01,4.2
2000-01-01,4.0
2001-01-01,4.7
2002-01-01,5.8
2003-01-01,6.0
2004-01-01,5.5
2005-01-01,5.1
2006-01-01,4.6
2007-01-01,4.6
2008-01-01,5.8
2009-01-01,9.3
2010-01-01,9.6
2011-01-01,8.9
